ID / 사진명,연령,성별,내향/외향,감각/직관,사고/감정,판단/인식,형용사,per_id,형용사클러스터,컬러형용사
p_on_sa_m_20_0001,20~29,남성,-0.5999999999999996,3.0,2.8,0.6000000000000001,여유있는,on_m20_01,화려한,img_10
p_on_sa_m_20_0002,20~29,남성,-0.7999999999999998,2.0,2.2,2.5999999999999996,밝은,on_m20_02,귀여운,img_2
p_on_sa_m_20_0003,20~29,남성,1.2000000000000002,3.1,3.2,-0.7,품위있는,on_m20_03,점잖은,img_42
p_on_sa_m_20_0004,20~29,남성,0.0,2.1,4.0,2.0,따듯한,on_m20_04,내츄럴한,img_16
p_on_sa_m_20_0005,20~29,남성,2.0,4.0,1.7,-1.1,차분한,on_m20_05,고상한,img_47
p_on_sa_w_20_0001,20~29,여성,1.2999999999999998,4.1,1.9,1.0,편안한,on_w20_01,내츄럴한,img_24
p_on_sa_w_20_0002,20~29,여성,-0.3999999999999999,3.0,2.4,0.0,성숙한,on_w20_02,화려한,img_14
p_on_sa_w_20_0003,20~29,여성,-0.7999999999999998,1.9,2.0,-0.6000000000000001,차가운,on_w20_03,모던한,img_31
p_on_sa_w_20_0004,20~29,여성,2.0,3.7,4.2,-1.2,차분한,on_w20_04,고상한,img_47
p_on_sa_w_20_0005,20~29,여성,0.10000000000000009,4.0,4.0,2.4000000000000004,깨끗한,on_w20_05,맑은,img_17
p_on_sa_m_30_0001,30~39,남성,1.2000000000000002,4.3,0.8,1.7999999999999998,온화한,on_m30_01,온화한,img_23
p_on_sa_m_30_0002,30~39,남성,-0.3999999999999999,4.0,3.9,1.0,감성적인,on_m30_02,내츄럴한,img_7
p_on_sa_m_30_0003,30~39,남성,0.40000000000000036,2.1,2.0,-0.30000000000000004,고급스러운,on_m30_03,점잖은,img_40
p_on_sa_m_30_0004,30~39,남성,1.2000000000000002,4.0,2.7,-0.19999999999999996,클래식한,on_m30_04,점잖은,img_25
p_on_sa_m_30_0005,30~39,남성,-1.1999999999999997,2.7,1.6,1.0,감미로운,on_m30_05,내츄럴한,img_9
p_on_sa_w_30_0001,30~39,여성,1.0,3.8,3.9,-0.10000000000000009,단순한,on_w30_01,은은한,img_25
p_on_sa_w_30_0002,30~39,여성,1.2000000000000002,4.1,4.0,1.2000000000000002,편안한,on_w30_02,내츄럴한,img_24
p_on_sa_w_30_0003,30~39,여성,1.2999999999999998,2.4,1.5,2.0,순수한,on_w30_03,온화한,img_23
p_on_sa_w_30_0004,30~39,여성,-1.2999999999999998,2.3,3.6,-0.3999999999999999,차가운,on_w30_04,모던한,img_31
p_on_sa_w_30_0005,30~39,여성,1.4000000000000004,4.0,1.2,-0.8,고상한,on_w30_05,고상한,img_42
p_on_sa_m_40_0001,40~49,남성,1.1,3.4,2.9,0.20000000000000018,동양적인,on_m40_01,은은한,img_25
p_on_sa_m_40_0002,40~49,남성,-0.5,3.0,2.0,0.7000000000000002,넉넉한,on_m40_02,화려한,img_10
p_on_sa_m_40_0003,40~49,남성,2.0,4.0,4.1,2.7,연약한,on_m40_03,온화한,img_26
p_on_sa_m_40_0004,40~49,남성,-0.7999999999999998,1.7,2.0,0.0,화려한,on_m40_04,모던한,img_31
p_on_sa_m_40_0005,40~49,남성,-0.09999999999999964,2.0,2.2,-0.8,격식있는,on_m40_05,점잖은,img_40
p_on_sa_w_40_0001,40~49,여성,1.5,2.3,1.7,-0.5,고상한,on_w40_01,고상한,img_42
p_on_sa_w_40_0002,40~49,여성,1.9000000000000004,1.6,4.3,1.6,매끄러운,on_w40_02,온화한,img_27
p_on_sa_w_40_0003,40~49,여성,0.40000000000000036,4.0,2.3,0.0,고급스러운,on_w40_03,점잖은,img_40
p_on_sa_w_40_0004,40~49,여성,1.7000000000000002,3.6,4.1,-0.19999999999999996,심플한,on_w40_04,은은한,img_45
